,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,alone,target
297,1,female,2,1,2,151.55,S,First,child,False,C,False,0
823,3,female,27,0,1,12.475,S,Third,woman,False,E,False,1
639,3,male,NaN,1,0,16.1,S,Third,man,True,NaN,False,0
334,1,female,NaN,1,0,133.65,S,First,woman,False,NaN,False,1
879,1,female,56,0,1,83.1583,C,First,woman,False,C,False,1
375,1,female,NaN,1,0,82.1708,C,First,woman,False,NaN,False,1
821,3,male,27,0,0,8.6625,S,Third,man,True,NaN,True,1
646,3,male,19,0,0,7.8958,S,Third,man,True,NaN,True,0
32,3,female,NaN,0,0,7.75,Q,Third,woman,False,NaN,True,1
291,1,female,19,1,0,91.0792,C,First,woman,False,B,False,1
610,3,female,39,1,5,31.275,S,Third,woman,False,NaN,False,0
158,3,male,NaN,0,0,8.6625,S,Third,man,True,NaN,True,0
582,2,male,54,0,0,26.0,S,Second,man,True,NaN,True,0
726,2,female,30,3,0,21.0,S,Second,woman,False,NaN,False,1
430,1,male,28,0,0,26.55,S,First,man,True,C,True,1
347,3,female,NaN,1,0,16.1,S,Third,woman,False,NaN,False,1
295,1,male,NaN,0,0,27.7208,C,First,man,True,NaN,True,0
240,3,female,NaN,1,0,14.4542,C,Third,woman,False,NaN,False,0
708,1,female,22,0,0,151.55,S,First,woman,False,NaN,True,1
336,1,male,29,1,0,66.6,S,First,man,True,C,False,0
789,1,male,46,0,0,79.2,C,First,man,True,B,True,0
526,2,female,50,0,0,10.5,S,Second,woman,False,NaN,True,1
666,2,male,25,0,0,13.0,S,Second,man,True,NaN,True,0
132,3,female,47,1,0,14.5,S,Third,woman,False,NaN,False,0
281,3,male,28,0,0,7.8542,S,Third,man,True,NaN,True,0
426,2,female,28,1,0,26.0,S,Second,woman,False,NaN,False,1
494,3,male,21,0,0,8.05,S,Third,man,True,NaN,True,0
424,3,male,18,1,1,20.2125,S,Third,man,True,NaN,False,0
761,3,male,41,0,0,7.125,S,Third,man,True,NaN,True,0
391,3,male,21,0,0,7.7958,S,Third,man,True,NaN,True,1
449,1,male,52,0,0,30.5,S,First,man,True,C,True,1
496,1,female,54,1,0,78.2667,C,First,woman,False,D,False,1
129,3,male,45,0,0,6.975,S,Third,man,True,NaN,True,0
872,1,male,33,0,0,5.0,S,First,man,True,B,True,0
45,3,male,NaN,0,0,8.05,S,Third,man,True,NaN,True,0
30,1,male,40,0,0,27.7208,C,First,man,True,NaN,True,0
842,1,female,30,0,0,31.0,C,First,woman,False,NaN,True,1
401,3,male,26,0,0,8.05,S,Third,man,True,NaN,True,0
759,1,female,33,0,0,86.5,S,First,woman,False,B,True,1
166,1,female,NaN,0,1,55.0,S,First,woman,False,E,False,1
689,1,female,15,0,1,211.3375,S,First,child,False,B,False,1
805,3,male,31,0,0,7.775,S,Third,man,True,NaN,True,0
193,2,male,3,1,1,26.0,S,Second,child,False,F,False,1
225,3,male,22,0,0,9.35,S,Third,man,True,NaN,True,0
707,1,male,42,0,0,26.2875,S,First,man,True,E,True,1
827,2,male,1,0,2,37.0042,C,Second,child,False,NaN,False,1
22,3,female,15,0,0,8.0292,Q,Third,child,False,NaN,True,1
408,3,male,21,0,0,7.775,S,Third,man,True,NaN,True,0
814,3,male,30.5,0,0,8.05,S,Third,man,True,NaN,True,0
522,3,male,NaN,0,0,7.225,C,Third,man,True,NaN,True,0
267,3,male,25,1,0,7.775,S,Third,man,True,NaN,False,1
377,1,male,27,0,2,211.5,C,First,man,True,C,False,0
550,1,male,17,0,2,110.8833,C,First,man,True,C,False,1
721,3,male,17,1,0,7.0542,S,Third,man,True,NaN,False,0
772,2,female,57,0,0,10.5,S,Second,woman,False,E,True,0
661,3,male,40,0,0,7.225,C,Third,man,True,NaN,True,0
717,2,female,27,0,0,10.5,S,Second,woman,False,E,True,1
53,2,female,29,1,0,26.0,S,Second,woman,False,NaN,False,1
878,3,male,NaN,0,0,7.8958,S,Third,man,True,NaN,True,0
671,1,male,31,1,0,52.0,S,First,man,True,B,False,0
309,1,female,30,0,0,56.9292,C,First,woman,False,E,True,1
750,2,female,4,1,1,23.0,S,Second,child,False,NaN,False,1
153,3,male,40.5,0,2,14.5,S,Third,man,True,NaN,False,0
330,3,female,NaN,2,0,23.25,Q,Third,woman,False,NaN,False,1
697,3,female,NaN,0,0,7.7333,Q,Third,woman,False,NaN,True,1
744,3,male,31,0,0,7.925,S,Third,man,True,NaN,True,1
724,1,male,27,1,0,53.1,S,First,man,True,E,False,1
180,3,female,NaN,8,2,69.55,S,Third,woman,False,NaN,False,0
643,3,male,NaN,0,0,56.4958,S,Third,man,True,NaN,True,1
259,2,female,50,0,1,26.0,S,Second,woman,False,NaN,False,1
664,3,male,20,1,0,7.925,S,Third,man,True,NaN,False,1
660,1,male,50,2,0,133.65,S,First,man,True,NaN,False,1
328,3,female,31,1,1,20.525,S,Third,woman,False,NaN,False,1
684,2,male,60,1,1,39.0,S,Second,man,True,NaN,False,0
746,3,male,16,1,1,20.25,S,Third,man,True,NaN,False,0
15,2,female,55,0,0,16.0,S,Second,woman,False,NaN,True,1
0,3,male,22,1,0,7.25,S,Third,man,True,NaN,False,0
351,1,male,NaN,0,0,35.0,S,First,man,True,C,True,0
73,3,male,26,1,0,14.4542,C,Third,man,True,NaN,False,0
405,2,male,34,1,0,21.0,S,Second,man,True,NaN,False,0
229,3,female,NaN,3,1,25.4667,S,Third,woman,False,NaN,False,0
148,2,male,36.5,0,2,26.0,S,Second,man,True,F,False,0
796,1,female,49,0,0,25.9292,S,First,woman,False,D,True,1
290,1,female,26,0,0,78.85,S,First,woman,False,NaN,True,1
63,3,male,4,3,2,27.9,S,Third,child,False,NaN,False,0
795,2,male,39,0,0,13.0,S,Second,man,True,NaN,True,0
417,2,female,18,0,2,13.0,S,Second,woman,False,NaN,False,1
825,3,male,NaN,0,0,6.95,Q,Third,man,True,NaN,True,0
97,1,male,23,0,1,63.3583,C,First,man,True,D,False,1
222,3,male,51,0,0,8.05,S,Third,man,True,NaN,True,0
559,3,female,36,1,0,17.4,S,Third,woman,False,NaN,False,1
713,3,male,29,0,0,9.4833,S,Third,man,True,NaN,True,0
731,3,male,11,0,0,18.7875,C,Third,child,False,NaN,True,0
442,3,male,25,1,0,7.775,S,Third,man,True,NaN,False,0
775,3,male,18,0,0,7.75,S,Third,man,True,NaN,True,0
302,3,male,19,0,0,0.0,S,Third,man,True,NaN,True,0
8,3,female,27,0,2,11.1333,S,Third,woman,False,NaN,False,1
880,2,female,25,0,1,26.0,S,Second,woman,False,NaN,False,1
288,2,male,42,0,0,13.0,S,Second,man,True,NaN,True,1
423,3,female,28,1,1,14.4,S,Third,woman,False,NaN,False,0
767,3,female,30.5,0,0,7.75,Q,Third,woman,False,NaN,True,0
572,1,male,36,0,0,26.3875,S,First,man,True,E,True,1
552,3,male,NaN,0,0,7.8292,Q,Third,man,True,NaN,True,0
253,3,male,30,1,0,16.1,S,Third,man,True,NaN,False,0
122,2,male,32.5,1,0,30.0708,C,Second,man,True,NaN,False,0
710,1,female,24,0,0,49.5042,C,First,woman,False,C,True,1
139,1,male,24,0,0,79.2,C,First,man,True,B,True,0
179,3,male,36,0,0,0.0,S,Third,man,True,NaN,True,0
230,1,female,35,1,0,83.475,S,First,woman,False,C,False,1
889,1,male,26,0,0,30.0,C,First,man,True,C,True,1
92,1,male,46,1,0,61.175,S,First,man,True,E,False,0
277,2,male,NaN,0,0,0.0,S,Second,man,True,NaN,True,0
752,3,male,33,0,0,9.5,S,Third,man,True,NaN,True,0
734,2,male,23,0,0,13.0,S,Second,man,True,NaN,True,0
605,3,male,36,1,0,15.55,S,Third,man,True,NaN,False,0
159,3,male,NaN,8,2,69.55,S,Third,man,True,NaN,False,0
227,3,male,20.5,0,0,7.25,S,Third,man,True,NaN,True,0
183,2,male,1,2,1,39.0,S,Second,child,False,F,False,1
395,3,male,22,0,0,7.7958,S,Third,man,True,NaN,True,0
212,3,male,22,0,0,7.25,S,Third,man,True,NaN,True,0
447,1,male,34,0,0,26.55,S,First,man,True,NaN,True,1
10,3,female,4,1,1,16.7,S,Third,child,False,G,False,1
585,1,female,18,0,2,79.65,S,First,woman,False,E,False,1
655,2,male,24,2,0,73.5,S,Second,man,True,NaN,False,0
554,3,female,22,0,0,7.775,S,Third,woman,False,NaN,True,1
670,2,female,40,1,1,39.0,S,Second,woman,False,NaN,False,1
458,2,female,50,0,0,10.5,S,Second,woman,False,NaN,True,1
77,3,male,NaN,0,0,8.05,S,Third,man,True,NaN,True,0
133,2,female,29,1,0,26.0,S,Second,woman,False,NaN,False,1
170,1,male,61,0,0,33.5,S,First,man,True,B,True,0
782,1,male,29,0,0,30.0,S,First,man,True,D,True,0
770,3,male,24,0,0,9.5,S,Third,man,True,NaN,True,0
425,3,male,NaN,0,0,7.25,S,Third,man,True,NaN,True,0
709,3,male,NaN,1,1,15.2458,C,Third,man,True,NaN,False,1
571,1,female,53,2,0,51.4792,S,First,woman,False,C,False,1
850,3,male,4,4,2,31.275,S,Third,child,False,NaN,False,0
461,3,male,34,0,0,8.05,S,Third,man,True,NaN,True,0
562,2,male,28,0,0,13.5,S,Second,man,True,NaN,True,0
492,1,male,55,0,0,30.5,S,First,man,True,C,True,0
307,1,female,17,1,0,108.9,C,First,woman,False,C,False,1
247,2,female,24,0,2,14.5,S,Second,woman,False,NaN,False,1
546,2,female,19,1,0,26.0,S,Second,woman,False,NaN,False,1
273,1,male,37,0,1,29.7,C,First,man,True,C,False,0
231,3,male,29,0,0,7.775,S,Third,man,True,NaN,True,0
658,2,male,23,0,0,13.0,S,Second,man,True,NaN,True,0
509,3,male,26,0,0,56.4958,S,Third,man,True,NaN,True,1
368,3,female,NaN,0,0,7.75,Q,Third,woman,False,NaN,True,1
641,1,female,24,0,0,69.3,C,First,woman,False,B,True,1
615,2,female,24,1,2,65.0,S,Second,woman,False,NaN,False,1
852,3,female,9,1,1,15.2458,C,Third,child,False,NaN,False,0
103,3,male,33,0,0,8.6542,S,Third,man,True,NaN,True,0
274,3,female,NaN,0,0,7.75,Q,Third,woman,False,NaN,True,1
498,1,female,25,1,2,151.55,S,First,woman,False,C,False,0
883,2,male,28,0,0,10.5,S,Second,man,True,NaN,True,0
113,3,female,20,1,0,9.825,S,Third,woman,False,NaN,False,0
440,2,female,45,1,1,26.25,S,Second,woman,False,NaN,False,1
393,1,female,23,1,0,113.275,C,First,woman,False,D,False,1
365,3,male,30,0,0,7.25,S,Third,man,True,NaN,True,0
678,3,female,43,1,6,46.9,S,Third,woman,False,NaN,False,0
164,3,male,1,4,1,39.6875,S,Third,child,False,NaN,False,0
753,3,male,23,0,0,7.8958,S,Third,man,True,NaN,True,0
136,1,female,19,0,2,26.2833,S,First,woman,False,D,False,1
244,3,male,30,0,0,7.225,C,Third,man,True,NaN,True,0
575,3,male,19,0,0,14.5,S,Third,man,True,NaN,True,0
887,1,female,19,0,0,30.0,S,First,woman,False,B,True,1
125,3,male,12,1,0,11.2417,C,Third,child,False,NaN,False,1
700,1,female,18,1,0,227.525,C,First,woman,False,C,False,1
147,3,female,9,2,2,34.375,S,Third,child,False,NaN,False,0
213,2,male,30,0,0,13.0,S,Second,man,True,NaN,True,0
154,3,male,NaN,0,0,7.3125,S,Third,man,True,NaN,True,0
591,1,female,52,1,0,78.2667,C,First,woman,False,D,False,1
808,2,male,39,0,0,13.0,S,Second,man,True,NaN,True,0
854,2,female,44,1,0,26.0,S,Second,woman,False,NaN,False,0
832,3,male,NaN,0,0,7.2292,C,Third,man,True,NaN,True,0
859,3,male,NaN,0,0,7.2292,C,Third,man,True,NaN,True,0
565,3,male,24,2,0,24.15,S,Third,man,True,NaN,False,0
652,3,male,21,0,0,8.4333,S,Third,man,True,NaN,True,0
581,1,female,39,1,1,110.8833,C,First,woman,False,C,False,1
85,3,female,33,3,0,15.85,S,Third,woman,False,NaN,False,1
195,1,female,58,0,0,146.5208,C,First,woman,False,B,True,1
794,3,male,25,0,0,7.8958,S,Third,man,True,NaN,True,0
863,3,female,NaN,8,2,69.55,S,Third,woman,False,NaN,False,0
595,3,male,36,1,1,24.15,S,Third,man,True,NaN,False,0
568,3,male,NaN,0,0,7.2292,C,Third,man,True,NaN,True,0
31,1,female,NaN,1,0,146.5208,C,First,woman,False,B,False,1
117,2,male,29,1,0,21.0,S,Second,man,True,NaN,False,0
135,2,male,23,0,0,15.0458,C,Second,man,True,NaN,True,0
266,3,male,16,4,1,39.6875,S,Third,man,True,NaN,False,0
260,3,male,NaN,0,0,7.75,Q,Third,man,True,NaN,True,0
428,3,male,NaN,0,0,7.75,Q,Third,man,True,NaN,True,0
669,1,female,NaN,1,0,52.0,S,First,woman,False,C,False,1
725,3,male,20,0,0,8.6625,S,Third,man,True,NaN,True,0
181,2,male,NaN,0,0,15.05,C,Second,man,True,NaN,True,0
276,3,female,45,0,0,7.75,S,Third,woman,False,NaN,True,0
607,1,male,27,0,0,30.5,S,First,man,True,NaN,True,1
102,1,male,21,0,1,77.2875,S,First,man,True,D,False,0
649,3,female,23,0,0,7.55,S,Third,woman,False,NaN,True,1
56,2,female,21,0,0,10.5,S,Second,woman,False,NaN,True,1
465,3,male,38,0,0,7.05,S,Third,man,True,NaN,True,0
333,3,male,16,2,0,18.0,S,Third,man,True,NaN,False,0
647,1,male,56,0,0,35.5,C,First,man,True,A,True,1
497,3,male,NaN,0,0,15.1,S,Third,man,True,NaN,True,0
57,3,male,28.5,0,0,7.2292,C,Third,man,True,NaN,True,0
157,3,male,30,0,0,8.05,S,Third,man,True,NaN,True,0
840,3,male,20,0,0,7.925,S,Third,man,True,NaN,True,0
206,3,male,32,1,0,15.85,S,Third,man,True,NaN,False,0
728,2,male,25,1,0,26.0,S,Second,man,True,NaN,False,0
376,3,female,22,0,0,7.25,S,Third,woman,False,NaN,True,1
81,3,male,29,0,0,9.5,S,Third,man,True,NaN,True,1
235,3,female,NaN,0,0,7.55,S,Third,woman,False,NaN,True,0
204,3,male,18,0,0,8.05,S,Third,man,True,NaN,True,1
813,3,female,6,4,2,31.275,S,Third,child,False,NaN,False,0
80,3,male,22,0,0,9.0,S,Third,man,True,NaN,True,0
820,1,female,52,1,1,93.5,S,First,woman,False,B,False,1
690,1,male,31,1,0,57.0,S,First,man,True,B,False,1
310,1,female,24,0,0,83.1583,C,First,woman,False,C,True,1
577,1,female,39,1,0,55.9,S,First,woman,False,E,False,1
626,2,male,57,0,0,12.35,Q,Second,man,True,NaN,True,0
502,3,female,NaN,0,0,7.6292,Q,Third,woman,False,NaN,True,0
67,3,male,19,0,0,8.1583,S,Third,man,True,NaN,True,0
14,3,female,14,0,0,7.8542,S,Third,child,False,NaN,True,0
730,1,female,29,0,0,211.3375,S,First,woman,False,B,True,1
747,2,female,30,0,0,13.0,S,Second,woman,False,NaN,True,1
137,1,male,37,1,0,53.1,S,First,man,True,C,False,0
382,3,male,32,0,0,7.925,S,Third,man,True,NaN,True,0
474,3,female,22,0,0,9.8375,S,Third,woman,False,NaN,True,0
882,3,female,22,0,0,10.5167,S,Third,woman,False,NaN,True,0
444,3,male,NaN,0,0,8.1125,S,Third,man,True,NaN,True,1
44,3,female,19,0,0,7.8792,Q,Third,woman,False,NaN,True,1
645,1,male,48,1,0,76.7292,C,First,man,True,D,False,1
163,3,male,17,0,0,8.6625,S,Third,man,True,NaN,True,0
208,3,female,16,0,0,7.75,Q,Third,woman,False,NaN,True,1
847,3,male,35,0,0,7.8958,C,Third,man,True,NaN,True,0
2,3,female,26,0,0,7.925,S,Third,woman,False,NaN,True,1
579,3,male,32,0,0,7.925,S,Third,man,True,NaN,True,1
816,3,female,23,0,0,7.925,S,Third,woman,False,NaN,True,0
720,2,female,6,0,1,33.0,S,Second,child,False,NaN,False,1
521,3,male,22,0,0,7.8958,S,Third,man,True,NaN,True,0
361,2,male,29,1,0,27.7208,C,Second,man,True,NaN,False,0
866,2,female,27,1,0,13.8583,C,Second,woman,False,NaN,False,1
248,1,male,37,1,1,52.5542,S,First,man,True,D,False,1
841,2,male,16,0,0,10.5,S,Second,man,True,NaN,True,0
142,3,female,24,1,0,15.85,S,Third,woman,False,NaN,False,1
512,1,male,36,0,0,26.2875,S,First,man,True,E,True,1
173,3,male,21,0,0,7.925,S,Third,man,True,NaN,True,0
573,3,female,NaN,0,0,7.75,Q,Third,woman,False,NaN,True,1
592,3,male,47,0,0,7.25,S,Third,man,True,NaN,True,0
191,2,male,19,0,0,13.0,S,Second,man,True,NaN,True,0
305,1,male,0.92,1,2,151.55,S,First,child,False,C,False,1
829,1,female,62,0,0,80.0,NaN,First,woman,False,B,True,1
66,2,female,29,0,0,10.5,S,Second,woman,False,F,True,1
742,1,female,21,2,2,262.375,C,First,woman,False,B,False,1
176,3,male,NaN,3,1,25.4667,S,Third,man,True,NaN,False,0
694,1,male,60,0,0,26.55,S,First,man,True,NaN,True,0
315,3,female,26,0,0,7.8542,S,Third,woman,False,NaN,True,1
220,3,male,16,0,0,8.05,S,Third,man,True,NaN,True,1
7,3,male,2,3,1,21.075,S,Third,child,False,NaN,False,0
831,2,male,0.83,1,1,18.75,S,Second,child,False,NaN,False,1
600,2,female,24,2,1,27.0,S,Second,woman,False,NaN,False,1
601,3,male,NaN,0,0,7.8958,S,Third,man,True,NaN,True,0
120,2,male,21,2,0,73.5,S,Second,man,True,NaN,False,0
140,3,female,NaN,0,2,15.2458,C,Third,woman,False,NaN,False,0
695,2,male,52,0,0,13.5,S,Second,man,True,NaN,True,0
833,3,male,23,0,0,7.8542,S,Third,man,True,NaN,True,0
199,2,female,24,0,0,13.0,S,Second,woman,False,NaN,True,0
59,3,male,11,5,2,46.9,S,Third,child,False,NaN,False,0
50,3,male,7,4,1,39.6875,S,Third,child,False,NaN,False,0
538,3,male,NaN,0,0,14.5,S,Third,man,True,NaN,True,0
723,2,male,50,0,0,13.0,S,Second,man,True,NaN,True,0
602,1,male,NaN,0,0,42.4,S,First,man,True,NaN,True,0
486,1,female,35,1,0,90.0,S,First,woman,False,C,False,1
642,3,female,2,3,2,27.9,S,Third,child,False,NaN,False,0
588,3,male,22,0,0,8.05,S,Third,man,True,NaN,True,0
75,3,male,25,0,0,7.65,S,Third,man,True,F,True,0
548,3,male,33,1,1,20.525,S,Third,man,True,NaN,False,0
38,3,female,18,2,0,18.0,S,Third,woman,False,NaN,False,0
555,1,male,62,0,0,26.55,S,First,man,True,NaN,True,0
511,3,male,NaN,0,0,8.05,S,Third,man,True,NaN,True,0
508,3,male,28,0,0,22.525,S,Third,man,True,NaN,True,0
631,3,male,51,0,0,7.0542,S,Third,man,True,NaN,True,0
161,2,female,40,0,0,15.75,S,Second,woman,False,NaN,True,1
76,3,male,NaN,0,0,7.8958,S,Third,man,True,NaN,True,0
806,1,male,39,0,0,0.0,S,First,man,True,A,True,0
287,3,male,22,0,0,7.8958,S,Third,man,True,NaN,True,0
272,2,female,41,0,1,19.5,S,Second,woman,False,NaN,False,1
696,3,male,44,0,0,8.05,S,Third,man,True,NaN,True,0
198,3,female,NaN,0,0,7.75,Q,Third,woman,False,NaN,True,1
379,3,male,19,0,0,7.775,S,Third,man,True,NaN,True,0
493,1,male,71,0,0,49.5042,C,First,man,True,NaN,True,0
688,3,male,18,0,0,7.7958,S,Third,man,True,NaN,True,0
738,3,male,NaN,0,0,7.8958,S,Third,man,True,NaN,True,0
858,3,female,24,0,3,19.2583,C,Third,woman,False,NaN,False,1
839,1,male,NaN,0,0,29.7,C,First,man,True,C,True,1
566,3,male,19,0,0,7.8958,S,Third,man,True,NaN,True,0
518,2,female,36,1,0,26.0,S,Second,woman,False,NaN,False,1
653,3,female,NaN,0,0,7.8292,Q,Third,woman,False,NaN,True,1
735,3,male,28.5,0,0,16.1,S,Third,man,True,NaN,True,0
219,2,male,30,0,0,10.5,S,Second,man,True,NaN,True,0
